iter	Accuracy	MultiClass
67	0.9495412844	0.2911138154
68	0.9495412844	0.2877038247
69	0.9541284404	0.2853658017
70	0.9495412844	0.28385968
71	0.9541284404	0.2813154347
72	0.9541284404	0.2798432604
73	0.9587155963	0.2764502773
74	0.9587155963	0.2740060502
75	0.9587155963	0.2712045545
76	0.9633027523	0.26904958
77	0.9633027523	0.2672819916
78	0.9633027523	0.2640296444
79	0.9633027523	0.2608318776
80	0.9633027523	0.2603012387
81	0.9633027523	0.2572780537
82	0.9633027523	0.2541127479
83	0.9633027523	0.2513878067
84	0.9633027523	0.2486424965
85	0.9633027523	0.2460605051
86	0.9633027523	0.2435502185
87	0.9633027523	0.241806735
88	0.9633027523	0.240056054
89	0.9633027523	0.2379832369
90	0.9633027523	0.2379826194
91	0.9633027523	0.2379003616
92	0.9633027523	0.2360428053
93	0.9633027523	0.2341771563
94	0.9633027523	0.2320768085
95	0.9678899083	0.22970496
96	0.9678899083	0.2285460672
97	0.9678899083	0.2276371389
98	0.9678899083	0.2275850773
99	0.9678899083	0.2248796819
100	0.9678899083	0.2220021999
101	0.9724770642	0.2196441474
102	0.9724770642	0.2177416965
103	0.9724770642	0.2161320851
104	0.9724770642	0.2135863732
105	0.9770642202	0.2117064018
106	0.9770642202	0.2099384497
107	0.9770642202	0.2076888809
108	0.9770642202	0.2065963034
109	0.9770642202	0.2053254765
110	0.9770642202	0.2040040088
111	0.9724770642	0.2030054294
112	0.9770642202	0.2004738512
113	0.9770642202	0.1977378826
114	0.9770642202	0.1961149121
115	0.9770642202	0.1941048744
116	0.9770642202	0.1925469564
117	0.9770642202	0.1915611446
118	0.9770642202	0.190523459
119	0.9770642202	0.188448887
120	0.9816513761	0.1868842101
121	0.9816513761	0.1855722122
122	0.9816513761	0.1835640052
123	0.9816513761	0.1827635171
124	0.9908256881	0.1804337382
125	0.9862385321	0.1796180934
126	0.9862385321	0.1785471009
127	0.9862385321	0.1767707438
128	0.9908256881	0.1762262382
129	0.9862385321	0.1753614994
130	0.9908256881	0.1740403654
131	0.9908256881	0.1722179758
132	0.9908256881	0.17120247
133	0.9908256881	0.1704256189
134	0.9908256881	0.1679818026
135	0.9908256881	0.1663457951
136	0.9908256881	0.1650127051
137	0.9908256881	0.1638573773
138	0.9908256881	0.1632034069
139	0.9908256881	0.162626086
140	0.9908256881	0.1616445183
141	0.9908256881	0.161029433
142	0.9908256881	0.1599051914
143	0.9908256881	0.1582819062
144	0.9908256881	0.1569955248
145	0.9908256881	0.1556855607
146	0.9908256881	0.1550660487
147	0.9908256881	0.1535591526
148	0.9908256881	0.1525794373
149	0.995412844	0.1510805944
150	0.9908256881	0.1496384769
151	0.995412844	0.148672192
152	0.995412844	0.1473384736
153	0.995412844	0.1466937202
154	0.995412844	0.1466738636
155	0.995412844	0.1456059027
156	0.995412844	0.1445891251
157	0.995412844	0.1434611694
158	0.995412844	0.1420581739
159	0.995412844	0.1410848088
160	0.995412844	0.1405513755
161	0.995412844	0.1394874327
162	0.995412844	0.1391826869
163	0.995412844	0.1381340587
164	0.995412844	0.1371569458
165	1	0.1364520039
166	1	0.1353055184
167	1	0.1344275722
168	1	0.1337488426
169	1	0.1330347152
170	1	0.1317724102
171	1	0.1307775042
172	1	0.1295620936
173	1	0.1288337172
174	1	0.1282975086
175	1	0.1270422029
176	1	0.1260331019
177	1	0.1254629749
178	1	0.1240543732
179	1	0.1229510975
180	1	0.122254149
181	1	0.1219684164
182	1	0.1216332923
183	1	0.120844271
184	1	0.1203140506
185	1	0.119950979
186	1	0.1191525667
187	1	0.1185053041
188	1	0.1177972027
189	1	0.1175095161
190	1	0.11664317
191	1	0.1159557255
192	1	0.1153244625
193	1	0.114574111
194	1	0.1137240462
195	1	0.1132216754
196	1	0.1128838594
197	1	0.1119257082
198	1	0.1114064306
199	1	0.1109554943
200	1	0.1102446929
201	1	0.1096427573
202	1	0.1091890179
203	1	0.1080204706
204	1	0.1075333006
205	1	0.1066608084
206	1	0.1063028992
207	1	0.105869372
208	1	0.1055152987
209	1	0.1051726857
210	1	0.105089651
211	1	0.1048547227
212	1	0.1042101436
213	1	0.1036192698
214	1	0.1029828481
215	1	0.1025989035
216	1	0.1021515373
217	1	0.1015066182
218	1	0.1013320458
219	1	0.1005151502
220	1	0.1000524173
221	1	0.09934792972
222	1	0.09890648169
223	1	0.09797741945
224	1	0.09712996114
225	1	0.0968648564
226	1	0.09646762555
227	1	0.09593657969
228	1	0.09523156322
229	1	0.09495265734
230	1	0.09446685817
231	1	0.09377591955
232	1	0.0933414606
233	1	0.09288297215
234	1	0.09239498473
235	1	0.09189218119
236	1	0.09144100429
237	1	0.09083572559
238	1	0.09040082741
239	1	0.09001874148
240	1	0.08957747032
241	1	0.08946720767
242	1	0.08901572828
243	1	0.08834103681
244	1	0.0879799531
245	1	0.08761014244
246	1	0.08720973392
247	1	0.08707081018
248	1	0.08689493274
249	1	0.08650961996
250	1	0.08616188741
251	1	0.08573376413
252	1	0.08523899994
253	1	0.08495761196
254	1	0.08495731169
255	1	0.08440021114
256	1	0.08393094664
257	1	0.083359769
258	1	0.0829383815
259	1	0.08249563471
260	1	0.08214538479
261	1	0.08192080424
262	1	0.08131331194
263	1	0.08131293532
264	1	0.08108053315
265	1	0.08056662546
266	1	0.08022903228
267	1	0.07993440484
268	1	0.07966709916
269	1	0.07904875449
270	1	0.07881323125
271	1	0.07856557403
272	1	0.07804301741
273	1	0.07772408151
274	1	0.07726504935
275	1	0.07693017863
276	1	0.07653962469
277	1	0.07619547724
278	1	0.07588630916
279	1	0.07578482461
280	1	0.07559315735
281	1	0.07535426308
282	1	0.07497965415
283	1	0.07453320547
284	1	0.0743088345
285	1	0.0743085644
286	1	0.07409716889
287	1	0.07369255816
288	1	0.07324547713
289	1	0.07294456064
290	1	0.07268099141
291	1	0.07238959209
292	1	0.07215152454
293	1	0.07181606243
294	1	0.07139926899
295	1	0.0712819432
296	1	0.07102386139
297	1	0.07079935921
298	1	0.07059708198
299	1	0.07036259984
300	1	0.07032726605
301	1	0.07010393931
302	1	0.06974877008
303	1	0.06962674624
304	1	0.06944081257
305	1	0.06911403459
306	1	0.06861051114
307	1	0.06831830008
308	1	0.06814175968
309	1	0.06793887261
310	1	0.06775752029
311	1	0.06775601691
312	1	0.06738036401
313	1	0.06702401013
314	1	0.06666567574
315	1	0.06645891464
316	1	0.06611076366
317	1	0.06611076287
318	1	0.06570099598
319	1	0.06552456729
320	1	0.06524129703
321	1	0.0648602883
322	1	0.06452593728
323	1	0.06430430218
324	1	0.0640779278
325	1	0.06378320585
326	1	0.0636309986
327	1	0.06351795433
328	1	0.06333967272
329	1	0.06309221196
330	1	0.06293372483
331	1	0.06270320752
332	1	0.06232031251
333	1	0.06220058196
334	1	0.06192202085
335	1	0.06157228565
336	1	0.06127293097
337	1	0.06091648471
338	1	0.06076432999
339	1	0.06053597861
340	1	0.06040537361
341	1	0.06035986559
342	1	0.06003683751
343	1	0.05984655389
344	1	0.05959176715
345	1	0.05935889702
346	1	0.0590808458
347	1	0.05893642898
348	1	0.05868820163
349	1	0.058452457
350	1	0.05828094616
351	1	0.05803491756
352	1	0.05784549078
353	1	0.05757927048
354	1	0.05731198003
355	1	0.05716258503
356	1	0.05698723596
357	1	0.05682053725
358	1	0.05655354858
359	1	0.05636119689
360	1	0.05610429079
361	1	0.05605939651
362	1	0.05577182533
363	1	0.05555025077
364	1	0.05531055733
365	1	0.05503315585
366	1	0.05472693008
367	1	0.05452455077
368	1	0.05431580605
369	1	0.05411606737
370	1	0.05408091192
371	1	0.05395745221
372	1	0.0537855136
373	1	0.05358590254
374	1	0.05333313015
375	1	0.05322185957
376	1	0.05299233533
377	1	0.05284411067
378	1	0.05268369165
379	1	0.05249148265
380	1	0.05232701132
381	1	0.05207937766
382	1	0.05186916016
383	1	0.05180022251
384	1	0.05152349997
385	1	0.05137778622
386	1	0.05110067964
387	1	0.05077699183
388	1	0.05057740629
389	1	0.05044999036
390	1	0.0503200748
391	1	0.05017023223
392	1	0.04996131813
393	1	0.04969982094
394	1	0.04959106507
395	1	0.0493984274
396	1	0.04911712602
397	1	0.04886553138
398	1	0.04879541206
399	1	0.0485624477
400	1	0.04839756694
401	1	0.0482145167
402	1	0.04806462915
403	1	0.04794367132
404	1	0.04781493873
405	1	0.04763649954
406	1	0.04740475453
407	1	0.04725841886
408	1	0.04714895836
409	1	0.04695543729
410	1	0.04675635742
411	1	0.04667647572
412	1	0.04650723792
413	1	0.04638590006
414	1	0.04627119965
415	1	0.04625601697
416	1	0.04613993509
417	1	0.04597994983
418	1	0.04591336967
419	1	0.04578732332
420	1	0.04564964639
421	1	0.04550856639
422	1	0.04531406945
423	1	0.04521628313
424	1	0.04502709705
425	1	0.04492228398
426	1	0.04470556602
427	1	0.0445466355
428	1	0.04434769239
429	1	0.04419034985
430	1	0.04410948283
431	1	0.04390839058
432	1	0.04380144037
433	1	0.04371583027
434	1	0.04358523056
435	1	0.04347470179
436	1	0.04333778891
437	1	0.04325377633
438	1	0.04314923971
439	1	0.04308989865
440	1	0.04295017071
441	1	0.04287389909
442	1	0.04276020811
443	1	0.04276010657
444	1	0.04258263332
445	1	0.04251034532
446	1	0.04236933754
447	1	0.04225646794
448	1	0.04213696569
449	1	0.04199648621
450	1	0.0418425835
451	1	0.04182234698
452	1	0.04178995187
453	1	0.04171371965
454	1	0.04151822454
455	1	0.04139169603
456	1	0.04130416334
457	1	0.0411840015
458	1	0.04106438445
459	1	0.04104512128
460	1	0.04100217656
461	1	0.04085211082
462	1	0.04074987446
463	1	0.04065628753
464	1	0.04061062792
465	1	0.0405136986
466	1	0.04038694463
467	1	0.0403069815
468	1	0.04018427726
469	1	0.0400049306
470	1	0.03979360173
471	1	0.03964024844
472	1	0.03955197085
473	1	0.03944618731
474	1	0.03939429579
475	1	0.03930868078
476	1	0.03922618199
477	1	0.03913145941
478	1	0.03902578535
479	1	0.03888913915
480	1	0.03877321625
481	1	0.0386854254
482	1	0.03855760984
483	1	0.03848626194
484	1	0.03841835602
485	1	0.03830861584
486	1	0.03820923941
487	1	0.03809508528
488	1	0.03794597563
489	1	0.03786525452
490	1	0.03769057859
491	1	0.03767122847
492	1	0.03758738657
493	1	0.03751198367
494	1	0.0374158132
495	1	0.03732098474
496	1	0.03724432071
497	1	0.03717240447
498	1	0.03711222629
499	1	0.03705898093
500	1	0.03698683681
501	1	0.03684756827
502	1	0.03671693124
503	1	0.03658420726
504	1	0.03649318059
505	1	0.03634863127
506	1	0.03622799942
507	1	0.0361312827
508	1	0.03600140539
509	1	0.03591242231
510	1	0.03579367749
511	1	0.03572773241
512	1	0.03563903184
513	1	0.03557882598
514	1	0.03551774195
515	1	0.03544094962
516	1	0.03539141859
517	1	0.03529917785
518	1	0.03516362995
519	1	0.03506677382
520	1	0.03503121615
521	1	0.03491415978
522	1	0.03481181123
523	1	0.03473515941
524	1	0.03469040623
525	1	0.03467756962
526	1	0.0345738823
527	1	0.03447739158
528	1	0.03437788247
529	1	0.03425601248
530	1	0.03413737922
531	1	0.03402859824
532	1	0.03395725472
533	1	0.03387387859
534	1	0.03380635239
535	1	0.0337401955
536	1	0.03365487347
537	1	0.03351811143
538	1	0.03343238324
539	1	0.03331064177
540	1	0.03327575076
541	1	0.03320079846
542	1	0.03309518124
543	1	0.03306226744
544	1	0.03301209769
545	1	0.03286219515
546	1	0.03273334858
547	1	0.0326552519
548	1	0.03259904924
549	1	0.03259894433
550	1	0.03251504197
551	1	0.03240998579
552	1	0.03240989797
553	1	0.03233545274
554	1	0.03222036101
555	1	0.03212897358
556	1	0.03205722836
557	1	0.03198257327
558	1	0.03190817956
559	1	0.03186338741
560	1	0.03180643959
561	1	0.03173226691
562	1	0.03163859238
563	1	0.03153542248
564	1	0.03153542248
565	1	0.03145242686
566	1	0.03137094767
567	1	0.03128834199
568	1	0.03120500981
569	1	0.03120499803
570	1	0.03111960433
571	1	0.0310383225
572	1	0.03097694603
573	1	0.0309768978
574	1	0.03088813235
575	1	0.03082462178
576	1	0.0307153678
577	1	0.03063545745
578	1	0.03057285486
579	1	0.03053080717
580	1	0.03046518995
581	1	0.03046514911
582	1	0.03040844156
583	1	0.03034386096
584	1	0.03031167708
585	1	0.03025933496
586	1	0.03021063949
587	1	0.03012090779
588	1	0.03004021308
589	1	0.02997819678
590	1	0.02992972842
591	1	0.0298641843
592	1	0.02981901071
593	1	0.02976214405
594	1	0.02971354083
595	1	0.02956268232
596	1	0.02946206043
597	1	0.02941762649
598	1	0.02934460871
599	1	0.02930052964
600	1	0.0291858406
601	1	0.02914336316
602	1	0.02903968371
603	1	0.02903688369
604	1	0.02896315235
605	1	0.02892375992
606	1	0.02885869563
607	1	0.02880467624
608	1	0.02871731623
609	1	0.02865833276
610	1	0.0285980543
611	1	0.02857995362
612	1	0.02852612396
613	1	0.0284842534
614	1	0.02841087651
615	1	0.02833880607
616	1	0.02823258335
617	1	0.02817966113
618	1	0.02811732283
619	1	0.02807704287
620	1	0.02807687943
621	1	0.02802750598
622	1	0.02795569313
623	1	0.02792964954
624	1	0.02786945359
625	1	0.02776661983
626	1	0.02775306826
627	1	0.0276842985
628	1	0.02762277063
629	1	0.02756208817
630	1	0.02753326861
631	1	0.02745207522
632	1	0.02741978153
633	1	0.02731993974
634	1	0.02729986009
635	1	0.02717174946
636	1	0.02710024662
637	1	0.02705282676
638	1	0.02700024773
639	1	0.02697075268
640	1	0.02696852516
641	1	0.02691273257
642	1	0.02685201809
643	1	0.02679114603
644	1	0.0267389539
645	1	0.02665775026
646	1	0.02665765236
647	1	0.02659504014
648	1	0.02652101176
649	1	0.0264537181
650	1	0.02639760646
651	1	0.02636238801
652	1	0.02631802911
653	1	0.02626111968
654	1	0.02618152561
655	1	0.02614485499
656	1	0.0260612656
657	1	0.02602656353
658	1	0.02591244398
659	1	0.02584742017
660	1	0.025815812
661	1	0.0257793583
662	1	0.02573708979
663	1	0.02568140423
664	1	0.02558537019
665	1	0.02553736747
666	1	0.02550646586
667	1	0.02544745297
668	1	0.02537383119
669	1	0.02532698684
670	1	0.025292899
671	1	0.02526320372
672	1	0.02521800345
673	1	0.02517104362
674	1	0.02507807103
675	1	0.02501571976
676	1	0.02501569141
677	1	0.02496822506
678	1	0.02492498147
679	1	0.02492493773
680	1	0.02489328881
681	1	0.02483643457
682	1	0.02478502438
683	1	0.02474923709
684	1	0.0247000628
685	1	0.02466311102
686	1	0.02462559287
687	1	0.02459570465
688	1	0.0245329874
689	1	0.02449435148
690	1	0.02444758166
691	1	0.02438773664
692	1	0.02435086125
693	1	0.02431629843
694	1	0.02425807115
695	1	0.02422312872
696	1	0.02418988363
697	1	0.02413613734
698	1	0.02411046711
699	1	0.02410138086
700	1	0.02404816658
701	1	0.02400181908
702	1	0.02396669439
703	1	0.02391485737
704	1	0.02387996143
705	1	0.02384060454
706	1	0.02378747287
707	1	0.02373336277
708	1	0.02369546472
709	1	0.02365479074
710	1	0.0235977096
711	1	0.02357812984
712	1	0.02352735531
713	1	0.02349530861
714	1	0.02345088123
715	1	0.02338557637
716	1	0.0233438155
717	1	0.02330615427
718	1	0.02325319639
719	1	0.02321180029
720	1	0.02316139259
721	1	0.02311944551
722	1	0.02308046195
723	1	0.02305328874
724	1	0.02299426577
725	1	0.02296591019
726	1	0.02294555668
727	1	0.02292513699
728	1	0.02289764736
729	1	0.02285936508
730	1	0.0228240336
731	1	0.02279074258
732	1	0.02276345218
733	1	0.02275106634
734	1	0.02269406893
735	1	0.02265233877
736	1	0.02259191646
737	1	0.02256704552
738	1	0.02253020266
739	1	0.02248241178
740	1	0.0224350888
741	1	0.02239665743
742	1	0.02236790456
743	1	0.02231262539
744	1	0.02227417791
745	1	0.02222520202
746	1	0.02218760567
747	1	0.02216959184
748	1	0.02214363264
749	1	0.02210462734
750	1	0.02207960128
751	1	0.02203848619
752	1	0.0219808879
753	1	0.02192992071
754	1	0.02188963777
755	1	0.02184398351
756	1	0.02180547577
757	1	0.02175475022
758	1	0.02174707097
759	1	0.02171707273
760	1	0.02169257906
761	1	0.02166656615
762	1	0.02163639134
763	1	0.02158333556
764	1	0.02152863187
765	1	0.02149028093
766	1	0.02140383177
767	1	0.02136529993
768	1	0.02132067043
769	1	0.02125176462
770	1	0.02121366487
771	1	0.02116509065
772	1	0.02113749967
773	1	0.02110736961
774	1	0.02106905858
775	1	0.02104828119
776	1	0.02099093172
777	1	0.02094985273
778	1	0.02088357562
779	1	0.02084908991
780	1	0.02082965866
781	1	0.02077829892
782	1	0.02073614592
783	1	0.02069724774
784	1	0.02066821001
785	1	0.02066314636
786	1	0.02062850285
787	1	0.02061544487
788	1	0.02057619236
789	1	0.02053829286
790	1	0.02051674936
791	1	0.02046275632
792	1	0.02044162297
793	1	0.02042248236
794	1	0.02035122963
795	1	0.02031183848
796	1	0.02027094148
797	1	0.02023598139
798	1	0.02019749662
799	1	0.0201589822
800	1	0.02011417428
801	1	0.02009123488
802	1	0.0200491564
803	1	0.02003222668
804	1	0.02000338638
805	1	0.01997316915
806	1	0.01992528003
807	1	0.01988891586
808	1	0.01986090602
809	1	0.01982865874
810	1	0.01979880042
811	1	0.01975704755
812	1	0.01972921585
813	1	0.01968415989
814	1	0.01963414379
815	1	0.01960864013
816	1	0.01953802855
817	1	0.01952035063
818	1	0.01952024198
819	1	0.01950280677
820	1	0.01946886216
821	1	0.01946875661
822	1	0.01943661544
823	1	0.01938452974
824	1	0.01935592475
825	1	0.01931030985
826	1	0.01928216733
827	1	0.01924965671
828	1	0.01919873392
829	1	0.01918216334
830	1	0.01916144414
831	1	0.01913848177
832	1	0.01907761053
833	1	0.01902635351
834	1	0.01902633999
835	1	0.01900675497
836	1	0.01898555883
837	1	0.01895885988
838	1	0.01892479573
839	1	0.0189048681
840	1	0.01888789108
841	1	0.01884236484
842	1	0.01882032335
843	1	0.01878348599
844	1	0.01873856889
845	1	0.01871481034
846	1	0.01871480353
847	1	0.01869228286
848	1	0.01865659888
849	1	0.01864385249
850	1	0.01862714398
851	1	0.01859687649
852	1	0.01858436045
853	1	0.01855351492
854	1	0.01851791674
855	1	0.01846818312
856	1	0.018451203
857	1	0.01844073599
858	1	0.01840368964
859	1	0.01839316985
860	1	0.0183324819
861	1	0.01830702667
862	1	0.01829115201
863	1	0.01826653984
864	1	0.01822413386
865	1	0.01820062085
866	1	0.01818031551
867	1	0.01816205067
868	1	0.01812160321
869	1	0.01809045326
870	1	0.01807586166
871	1	0.01803378964
872	1	0.01799609673
873	1	0.01796434572
874	1	0.01794835011
875	1	0.01791970033
876	1	0.01789194418
877	1	0.01786152554
878	1	0.01783367237
879	1	0.01778666844
880	1	0.01773520176
881	1	0.01770841456
882	1	0.01768987652
883	1	0.01764946153
884	1	0.01762905726
885	1	0.01761843393
886	1	0.01758961453
887	1	0.01754535814
888	1	0.01751742917
889	1	0.01747877469
890	1	0.01743132074
891	1	0.01740408846
892	1	0.01737536716
893	1	0.01735295229
894	1	0.01732078995
895	1	0.01730578303
896	1	0.01729555078
897	1	0.01727374356
898	1	0.0172462069
899	1	0.01723104829
900	1	0.01720657343
901	1	0.017179819
902	1	0.01714897562
903	1	0.01712715966
904	1	0.01709820198
905	1	0.01707451128
906	1	0.01705277228
907	1	0.01702369415
908	1	0.01700338885
909	1	0.01696480457
910	1	0.01694471955
911	1	0.01693440588
912	1	0.01691847981
913	1	0.01691090026
914	1	0.01688227809
915	1	0.0168466749
916	1	0.01683038041
917	1	0.0168013345
918	1	0.01678965155
919	1	0.01675506761
920	1	0.01673431335
921	1	0.01671680811
922	1	0.01669204252
923	1	0.01666034805
924	1	0.01664440714
925	1	0.01661697338
926	1	0.01659683623
927	1	0.01658309849
928	1	0.01656714428
929	1	0.01655042216
930	1	0.01653405422
931	1	0.01652097738
932	1	0.01650550776
933	1	0.01647792866
934	1	0.01647638937
935	1	0.01644680936
936	1	0.01642386092
937	1	0.01637797891
938	1	0.01637797834
939	1	0.01634297492
940	1	0.01632128539
941	1	0.01630438533
942	1	0.01628205991
943	1	0.01626116534
944	1	0.01623188391
945	1	0.01620776535
946	1	0.01619944546
947	1	0.01617804375
948	1	0.01617270176
949	1	0.01616443763
950	1	0.01614727576
951	1	0.01612598593
952	1	0.01606907326
953	1	0.0160457116
954	1	0.01603264151
955	1	0.01602104224
956	1	0.01597903264
957	1	0.01596350941
958	1	0.01594577858
959	1	0.01594062773
960	1	0.0159197175
